"id","NAME","stud_mhstaff_ratio","ratio_cat"
"1","Clear Creek ISD",181,"156-180"
"2","Galena Park ISD",214,"201-220"
"3","Pasadena ISD",177,"156-180"
"4","Aldine ISD",209,"201-220"
"5","Spring ISD",221,"201-220"
"6","Sheldon ISD",260,"221-300"
"7","Deer Park ISD",156,"156-180"
"8","Channelview ISD",194,"181-200"
"9","La Porte ISD",172,"156-180"
"10","Huffman ISD",209,"201-220"
"11","Crosby ISD",205,"181-200"
"12","Humble ISD",199,"181-200"
"13","Tomball ISD",213,"201-220"
"14","Klein ISD",159,"156-180"
"15","Magnolia ISD",234,"221-300"
"16","Waller ISD",216,"201-220"
"17","Spring Branch ISD",193,"181-200"
"18","Cypress-Fairbanks ISD",267,"221-300"
"19","Alief ISD",201,"181-200"
"20","Katy ISD",207,"201-220"
"21","Pearland ISD",180,"156-180"
"22","Houston ISD",334,"300+"
"23","Friendswood ISD",176,"156-180"
